_id,email,location,sector,role,established_dt,type_dt_other,assurance_meaning,assurance_mechanisms[0],assurance_mechanisms[1],assurance_mechanism_other,assured_properties[0],assured_properties[1],assured_properties_other,asset_data_sharing,partner_trust_difficulty,partner_trust_challenges[0],preparedness_for_argument,communication_impact,communication_methods[0],communication_methods[1],integrate_assurance,link_assurance_activities,satisfaction_justification,ethical_framework_existence,familiarity_with_gemini_principles,value_of_guiding_principles,framework_description,framework_development,benefits_of_visual_tool,need_for_visual_tool,reasons_against_visual_tool,operationalization_challenges,support_for_assurance[0],support_for_assurance[1],support_for_assurance_other,ranking_support_options,modification_date,consent_0,consent_1,consent_2,consent_3,consent_4,consent_5,consent_6,consent_7,consent_8,consent_9,project_interest,workshop_interest,challenge_curation,challenge_evolution,challenge_federation,challenge_good,challenge_insight,challenge_openness,challenge_quality,challenge_security,challenge_value,relevance_curation,relevance_evolution,relevance_federation,relevance_good,relevance_insight,relevance_openness,relevance_quality,relevance_security,relevance_value
86,nzdppwtilw@example.com,United Kingdom,Technology,Data Scientist/Analyst,No,runrndWSFR,GyhJLlMrqTlzvIvmWBzyDorAHNgfHFKhulpmfPpLMGZqSjGycK,"Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)","Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)",hcocjmPfDK,None,Transparency,IXVFuVRrEi,No,Somewhat Difficult,Interoperability,Not prepared at all,Agree,Meetings,Meetings,Strongly agree,Neutral,Very unsatisfied,Yes  / Something similar,I've heard of them but don't know much.,Moderately valuable,oMBmnMxuMqQqQrfDniFdUYZaxYazOcqUjzmyMMbJCPNdUPDuIU,Developed by an external consultant,izmdjtJGYKvkEyiMrBHryBAbjKiRdwazaxVxhbvKphpggqjRlB,No,MhxVFNonWpJxcVtJWHBMsqwqHUpHTScEqkLMBFfReWPQkceZRI,JabzoCkTqFUsmljuVNsFjEGuoKlciCNkwaqsIUFkIJdGnQmSfI,Tools to easily create Assurance Cases,Awareness Programs for Assurance,vBUBjNllsvPnlRXfWmfUCHuWEIVCiajFTMAYOQhvJYREhBJuVv,"['Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2021-02-06,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely challenging,Moderately challenging,Slightly challenging,Slightly challenging,Slightly challenging,Moderately challenging,Extremely challenging,Not challenging at all,Moderately challenging,Moderately Relevant,Moderately Relevant,Not Relevant,Extremely Relevant,Extremely Relevant,Slightly Relevant,Not Relevant,Slightly Relevant,Slightly Relevant
87,pqscjlfzwb@example.com,Germany,Engineering,Semantic Web Technologist,No,LsfRUCLnMI,DtrjbIdnHQPNqAwqFLfHkgDkSLDjNwRZbadvBRsqyqpQHHkijO,"Conformity Assessments (e.g., alignment with standards and expectations)",None,pjydfovDEs,Federation,Ethical Integrity,RwnxSNlaTi,No,Very Easy,Loss of control of data,Not prepared at all,Agree,Digital Communications,Interactive Platforms,Strongly disagree,Neutral,Very satisfied,No,I incorporate them in my work as guidelines.,Very valuable,RVwlHeoimnpwhfVfXsUvsXRtaKdUIKbgoSkjKnoIbCOWWlzbFe,Adapted existing framework / standards,bMgigEOdDGZZymkYFOoaXxgfZOOYwiEiNvhuLuhvnHCpeEvHRz,Yes,jyaNcejiNzoLLDsEPAskLFQqEJhrNUGbKeRRoPAxnekwkRcJdh,TTghYnDhJlqbZMSyEkKTlNaQOAEIIVVwiSDUFlVUavMmRwuFmP,Value demonstration,Value demonstration,QExCTyNCVGSmBoaxPGeSIRoHjYhzXxTqmuzhUDCrQCALOyEbHC,"['Tools to easily create Assurance Cases', 'Awareness Programs for Assurance', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Business case justification', 'Value demonstration', 'Regulatory Clarity and Compliance Guidance']",2023-01-21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Slightly challenging,Extremely challenging,Very challenging,Very challenging,Slightly challenging,Not challenging at all,Slightly challenging,Moderately challenging,Very challenging,Extremely Relevant,Slightly Relevant,Not Relevant,Very Relevant,Moderately Relevant,Extremely Relevant,Very Relevant,Moderately Relevant,Extremely Relevant
88,suhzhwlqlf@example.com,United Kingdom,Education,Other,Yes,IZXOzFvJTu,BiESBwJXmETRHrwFRvmxHJOHwAmyPAxnZSgmThrfDGqzkIpcZW,"Compliance Audits (e.g., verifying adherence to laws and regulations)","Conformity Assessments (e.g., alignment with standards and expectations)",AOZWHVhKlC,Quality,Governance,OhUMTXgmKk,No,Somewhat Easy,Concerns re confidentiality of data,Neutral,Disagree,Non-standardized written Reports,Meetings,Neutral,Strongly disagree,Very satisfied,I don’t know,I've seen them but don't use them in my work.,Not valuable at all,IYOmlqkJMwkkmoUmfPXXHNmmmnostYHUiahfCjEFrrQabmuoXj,Adapted existing framework / standards,gIpuUnpXcdcpgJhEcpAouVWuXwKwjNKVNCvDzyzyIRZiLfxEQI,No,XIgkGTQIIRlUvmNXvHVbcpDxhLotvAzGlcawCOCmTMIGgpQSou,moRQibTldehpeEaxDNPASiGnbGdGsGUZToNyEONzgGsuEpguVA,Other (Please specify),Awareness Programs for Assurance,jkhbPNZZTJunOFiUEWyYwLgTCjgPRoJHAflnosGjSarehAzaew,"['Business case justification', 'Awareness Programs for Assurance', 'Value demonstration', 'Tools to easily create Assurance Cases', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance']",2022-01-24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderately challenging,Very challenging,Very challenging,Very challenging,Very challenging,Slightly challenging,Very challenging,Slightly challenging,Very challenging,Not Relevant,Extremely Relevant,Moderately Relevant,Extremely Relevant,Slightly Relevant,Not Relevant,Very Relevant,Moderately Relevant,Moderately Relevant
89,ryrnpaqurb@example.com,United Kingdom,Education,Semantic Web Technologist,Yes,KNdkNcAUfl,nfdvkiSQNMMdqfZoQYWgmPNKeWfydxpXAzkEGjpDgstwJOPSDB,"Service Continuity Management (e.g., ensuring ongoing operational reliability)","Service Continuity Management (e.g., ensuring ongoing operational reliability)",rHnZbEDjsp,Federation,Robustness,cNbFuZvGEn,Yes,Very Easy,Technical architecture,Neutral,Disagree,Not Systematically,Visual Aids,Strongly disagree,Neutral,Somewhat unsatisfied,I don’t know,I incorporate them in my work as guidelines.,Extremely valuable,XIkCfGRevFmAZLLpCTBLBvpZyyBUiAyoCYDffaZfbsAqABPYiu,Developed by an external consultant,huFAKNGtrVUfWPhtrYvCmKXWZkXvwFnEkdcinVafhQFHeGpYnK,No,WtrbiAhkxiymliEojbNtKbJqbjDFpGTKPWhZUiVZymnZSfCmHe,kXyguJErBaIRkQrPXDJxSIieChOgHKPdtSqaEXeyvIMxdJudjS,Awareness Programs for Assurance,Other (Please specify),MftZsEuUPAfOpFrANrhXMLGVjEnTbyROIjmPLbvXnAbhcKXODB,"['Step-by-Step Guidance / Skills Training', 'Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance', 'Value demonstration', 'Tools to easily create Assurance Cases', 'Regulatory Clarity and Compliance Guidance']",2020-02-20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Slightly challenging,Not challenging at all,Extremely challenging,Extremely challenging,Slightly challenging,Not challenging at all,Slightly challenging,Slightly challenging,Not challenging at all,Slightly Relevant,Extremely Relevant,Slightly Relevant,Not Relevant,Very Relevant,Not Relevant,Not Relevant,Not Relevant,Very Relevant
90,roajpowrov@example.com,China,Education,Researcher/Academic,No,GKtNuLTVDd,qIBMYpPeLLzAGkDZqKWwIamQaIBgZkSnMVhmGDDxQQRaXXnLBi,"Compliance Audits (e.g., verifying adherence to laws and regulations)","Service Continuity Management (e.g., ensuring ongoing operational reliability)",priygfgTix,Transparency,Fairness,aXgexQwfKr,No,Somewhat Difficult,Business Change,Somewhat unprepared,Disagree,Visual Aids,Digital Communications,Disagree,Strongly disagree,Somewhat unsatisfied,Yes  / Something similar,This is the first time I've heard of them.,Very valuable,xCGvZIyAtPlikdMLVHfNrlsDIeFvudFUfKVyiPoNVFVHsKrGSO,Select,fFotyHERiUJZnAENSBIouRPGEhwFbRosoSCPUuBONqZVbCurNi,Yes,SpEQnjIUbXeeRDkFHBWkUZHTSlshHWLWRuUwJzFcptLKlLzvKV,MBMkGrxKYTrgObxyeRdmsgnYfsZFyZZtJVIlhawRlwGZRFwIyV,Business case justification,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,NPBFbVHBQbnjLITwYzzdSfNaaUYQKNWOrRXDVEkpoHBrZzkesG,"['Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Awareness Programs for Assurance', 'Business case justification', 'Value demonstration', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2020-08-01,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Slightly challenging,Slightly challenging,Very challenging,Slightly challenging,Moderately challenging,Moderately challenging,Very challenging,Slightly challenging,Very challenging,Extremely Relevant,Slightly Relevant,Very Relevant,Slightly Relevant,Very Relevant,Not Relevant,Slightly Relevant,Not Relevant,Moderately Relevant
91,efktahvhzr@example.com,United Kingdom,Technology,Executive/Decision-Maker,Yes,EdxccdbNwv,oJQZkyhfazLIhzzgQzEOEkGXEDmfqvqZxOPFEvFcJvjEussmFo,"Risk Assessment (e.g., evaluating potential risks in projects)","Formal Verification (e.g., rigorously proving system properties)",wdaDFFOkDf,Evolution,Interoperability,fEJYhrfuqr,No,Very Difficult,Unclear business case and issues around fairly distributed return on investment,Very prepared,Agree,Written Reports following established standards,Other,Strongly disagree,Disagree,Neutral,Yes  / Something similar,I've seen them but don't use them in my work.,Not valuable at all,wERhqxOOjUTfwKfgDAffyupZYFuHeDnCBTHnbUnhuYmQCxvhtl,"Consensus-based process (e.g., collaborative efforts of industry consortia)",ulDbsEIJtSKTDyAzDmQYdJMTjTSWoNlPjqPAmlVoaPsABlVwuD,No,QvYNYXsFTZeTzVbJPDCYKgKsUWauKmcGxZtYYhQrAEIsyIyLpZ,mXXibhNazCfWuaOxsesxxLEivWmENcKKUzYQPQJkQsJlEBDlTw,Business case justification,Regulatory Clarity and Compliance Guidance,sGQMsOHaxtYchmaiOgFEMOzNhTXmxFnLBMFthQZJehsKCQLMdI,"['Value demonstration', 'Tools to easily create Assurance Cases', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Business case justification']",2023-01-13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Very challenging,Moderately challenging,Moderately challenging,Not challenging at all,Moderately challenging,Not challenging at all,Slightly challenging,Extremely challenging,Moderately challenging,Not Relevant,Not Relevant,Moderately Relevant,Very Relevant,Not Relevant,Slightly Relevant,Not Relevant,Very Relevant,Slightly Relevant
92,zslazeimun@example.com,India,Engineering,Executive/Decision-Maker,Yes,GkzcnniBkL,heJsgTLXKmvIweovtSskonxzrqvngqpnHBALZFOMveuwuScGaI,"Information Security Reviews (e.g., safeguarding data and systems)","Risk Assessment (e.g., evaluating potential risks in projects)",MAIhDuTuai,Openness,Data Stewardship,KMJecrfHNU,Yes,Neutral,Concerns re confidentiality of data,Somewhat prepared,Strongly agree,Interactive Platforms,Visual Aids,Strongly agree,Disagree,Neutral,I don’t know,I incorporate them in my work as guidelines.,Not valuable at all,ncHetASjTITQmQHPcdLeteIyaEdMHgwGaJbnxKWlFvSMKJIdPa,Developed by an external consultant,CKdxLyqFcTJMfpasuKIIGfDsEDwHbfMKjQihyJlDnUryjRJfWX,Yes,RUsEIVpIwUFXFZnfnSlDhBYNiLBQomvFxHpijrAZIBlNhhfKzV,OjcRnidahAOzVbCSLQXBIXJqPWqOMmMMbWvmFRLStnzwbhEYxH,Business case justification,Awareness Programs for Assurance,KGoeTLDnYrDXWBScqiuTSIlzsiyILYaTMXBuPvvFeoxYgiPmAv,"['Business case justification', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Value demonstration', 'Awareness Programs for Assurance']",2020-10-24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very challenging,Very challenging,Very challenging,Slightly challenging,Not challenging at all,Very challenging,Moderately challenging,Slightly challenging,Not challenging at all,Very Relevant,Not Relevant,Not Relevant,Extremely Relevant,Slightly Relevant,Slightly Relevant,Not Relevant,Extremely Relevant,Slightly Relevant
93,sidbpsqrmp@example.com,Sweden,Education,Developer/Engineer,No,EtRWLyUEli,XOfceThSAHjJssRUIqXhKfqsmINfdESUwToUPKzUDugCUkBaNO,"Risk Assessment (e.g., evaluating potential risks in projects)","Risk Assessment (e.g., evaluating potential risks in projects)",cBKMBFzjiy,Public Good,Safety,ciydcBmIzp,Yes,Somewhat Difficult,Intellectual Property Rights,Somewhat unprepared,Strongly disagree,Non-standardized written Reports,Interactive Platforms,Agree,Strongly disagree,Very satisfied,I don’t know,I've seen them but don't use them in my work.,Very valuable,iEbOEpRRejAKaZfbWQjMnJYNZMMiYDxghqljKrFxmPtopsuSqY,Internal governance process,VgOqLMnqPGtQoKlcKfjFMBtkdhnPjaEJrJdZpdwyPJRORZQRfq,No,jPpMedJBgPmAAHfSmUxcckXVMQXnnfZGiALMqFUoXbdDzIXsid,npTXNjfVHYwEUnASndWpdaysUWebslKzzDmNciVVUWPxsYUJLB,Business case justification,Business case justification,FrKaZEWxxDbktdEosPsGAPVdBBAqTYvSiPtHqMmNPgrPTHXYCL,"['Business case justification', 'Value demonstration', 'Awareness Programs for Assurance', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2023-06-22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Extremely challenging,Very challenging,Slightly challenging,Moderately challenging,Extremely challenging,Extremely challenging,Not challenging at all,Extremely challenging,Extremely challenging,Moderately Relevant,Moderately Relevant,Not Relevant,Moderately Relevant,Not Relevant,Not Relevant,Very Relevant,Extremely Relevant,Extremely Relevant
94,ljzhaysnvi@example.com,United Kingdom,Electricity,Executive/Decision-Maker,Yes,IHQqBHYVSQ,NDfgrlskCjSPwWjLJGyQrzUiocSsZzJefhPmrhxEgGUwwDnfSf,"Conformity Assessments (e.g., alignment with standards and expectations)","Bias Reviews (e.g., identifying and mitigating biases in processes or outputs)",GZcOelBePY,Transparency,Robustness,igjjtTbBgF,Yes,Somewhat Difficult,Regulatory concerns around data protection,Not prepared at all,Agree,Digital Communications,Non-standardized written Reports,Disagree,Neutral,Neutral,Yes  / Something similar,Select,Moderately valuable,cQEAhrgusjOThpNvThsCXgUpieajtxBTIJTQhXeeWJVsqMXCHD,Reused existing framework / standards,yEIlRYKclylmpFEJuFzhrmbHMUeloEuzyDLlMNfOsKhPRMZQHi,I need to know more about this tool to decide,AkEkwvFrpGNzlPyMJCGLjDPfdfxPAZsXgWJZjzllMuytWnpeEn,iNVHOWhBjbnLRBIegIjQaIVNltsZlgOlvielKEzvsZvTWaZthj,Value demonstration,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,kpEJCZKQpKoiqPoDmUGiXldGYYvucpzvEswGjyLydtLVXKOxKW,"['Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Value demonstration', 'Business case justification', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training']",2021-03-09,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not challenging at all,Slightly challenging,Slightly challenging,Not challenging at all,Extremely challenging,Very challenging,Extremely challenging,Not challenging at all,Moderately challenging,Extremely Relevant,Very Relevant,Moderately Relevant,Very Relevant,Slightly Relevant,Extremely Relevant,Moderately Relevant,Very Relevant,Moderately Relevant
95,negsnrmqxp@example.com,Belgium,Technology,Researcher/Academic,Yes,hbpZVUCUKL,fIkzbyQQOtQNioeFKmEBaPUcUhEdnXIbmrYInJXFMNlOTQWcoc,"Data Quality Checks (e.g., ensuring accuracy and reliability of data)",Other (Please specify),tPfmOdKlTh,Federation,Openness,sQkdLIJLUs,No,Somewhat Difficult,Technical architecture,Not prepared at all,Strongly agree,Visual Aids,Interactive Platforms,Neutral,Strongly agree,Somewhat satisfied,Yes  / Something similar,This is the first time I've heard of them.,Extremely valuable,IAmluHhGIqbnEyekPWiyfdImKkbXRDPHsmiqzWzcWxFvPvhBjE,Developed by an external consultant,msaSPBzUUGVlOuqRJaZVhxTGjjMTaTavPxQXMBQuTvgPMiUgVf,No,lzGIuwLEuxVnnaupzTyvQOnKUHBCvzwQFJGEgGaUkHJOOuRAkj,oIPjptklHXhdXMQIjfiVzSFoezFWXBECPDFiDAoAchcHkQkXJk,Business case justification,Tools to easily create Assurance Cases,waypxRZfxuwktoLBKlrUQfWIIfclMcWNFLWVMFzRNZpqXWsVIO,"['Awareness Programs for Assurance', 'Business case justification', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases', 'Value demonstration']",2023-08-13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Very challenging,Very challenging,Very challenging,Extremely challenging,Extremely challenging,Not challenging at all,Extremely challenging,Slightly challenging,Not challenging at all,Extremely Relevant,Extremely Relevant,Not Relevant,Not Relevant,Not Relevant,Very Relevant,Extremely Relevant,Moderately Relevant,Extremely Relevant
96,zfbxskpaqx@example.com,United Kingdom,Education,Semantic Web Technologist,Yes,PcJASfHxDP,UhMphxNIIRYbuNlBAiZUcUNBZbaPKJpOmGjnUwHPPuzvLcdPJt,"Risk Assessment (e.g., evaluating potential risks in projects)","Conformity Assessments (e.g., alignment with standards and expectations)",rPmRDPcPpQ,Ethical Integrity,Security,guQNRFMxlq,Yes,Very Easy,Info security etc,Somewhat unprepared,Disagree,Non-standardized written Reports,Not Systematically,Neutral,Agree,Somewhat unsatisfied,No,I've heard of them but don't know much.,Not valuable at all,YdrsMQWIalenjFuejnXQRaklootCwJSPuoGgVMLKBGXLaWhqbt,Reused existing framework / standards,iHIKvGbVdqUoIfcgWmaqHvfzeLonbteToQsrHmvDhyNWsTdWcb,I need to know more about this tool to decide,uCmUQodhITTWqZLhowWPeyQowjLATTTeSIWWQlEoCgwIlpLOJO,CyYzhrXvSZMOwNczddxjigVxSzgyTkeuNrmneTIYOSHBSwoEXj,Tools to easily create Assurance Cases,Step-by-Step Guidance / Skills Training,VFmzehXaYGxDFgDsGqujlaYESuDJGTTeDWXWadFIWvhkOBiUdd,"['Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance', 'Step-by-Step Guidance / Skills Training', 'Tools to easily create Assurance Cases', 'Value demonstration', 'Business case justification']",2020-03-01,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Slightly challenging,Moderately challenging,Extremely challenging,Moderately challenging,Moderately challenging,Moderately challenging,Very challenging,Not challenging at all,Slightly challenging,Extremely Relevant,Slightly Relevant,Very Relevant,Slightly Relevant,Extremely Relevant,Moderately Relevant,Very Relevant,Very Relevant,Slightly Relevant
97,vahaxuwhvb@example.com,Philippines,Construction,Semantic Web Technologist,No,SPkToTdbVO,qiFisWpqRzeXSXiEzYHnFBGKmAguWFZuqHsTXNkzEgeHfYIvDI,"Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)","Bias Reviews (e.g., identifying and mitigating biases in processes or outputs)",bfROktacuS,Fairness,Governance,uElaXeJxgz,Yes,Somewhat Easy,Interoperability,Very prepared,Strongly agree,Digital Communications,Digital Communications,Agree,Strongly agree,Very satisfied,No,Select,Extremely valuable,vDTxgQlqHFYJNzBNZVXIHCSsJjVMPDAdbrGBtKBzmMPzsRnWcC,Adapted existing framework / standards,IpEJsZjYMPxeZhYLhJtGuycQNOdAMvVJqbfAOZnFMuXOCmcBAe,No,SWBAexsTvJzdfErXmgfwxIFQMMRPPHaKZbbWdJhfbqtSflRIEr,tZUKkBQBkjbTjBKjIeZVbcSOnGNxEkRzGtDCzksGRteMTNfjyR,Awareness Programs for Assurance,Tools to easily create Assurance Cases,jCriBDcujucdFpoWcRniyycVwhXWebLzwCPeXbzCORFtAYzZGn,"['Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Business case justification', 'Value demonstration']",2022-06-06,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moderately challenging,Very challenging,Moderately challenging,Slightly challenging,Slightly challenging,Not challenging at all,Not challenging at all,Not challenging at all,Slightly challenging,Extremely Relevant,Very Relevant,Not Relevant,Extremely Relevant,Slightly Relevant,Not Relevant,Very Relevant,Very Relevant,Extremely Relevant
98,ihresizksm@example.com,Vietnam,Electricity,Industry Consultant/Advisor,No,QdoElGcIZR,JKXPpwTJAeDloLkZzLSnQuVxEDCyGrSfCMDfLjTPlodyvfVnvy,"Information Security Reviews (e.g., safeguarding data and systems)","Risk Assessment (e.g., evaluating potential risks in projects)",GzzJcebkEw,Security,Accountability,IOYgrbDwmX,Yes,Somewhat Difficult,Lack of trust in partner organisation,Very prepared,Neutral,Digital Communications,Other,Agree,Agree,Somewhat unsatisfied,I don’t know,Select,Not valuable at all,XXcPHxGOTnPZeYcvIooEISBNtqznTvKecYUPfMxJxmJhqMBNmw,Reused existing framework / standards,GMmARvVGiJASJbpxMefvmUkbNDxOHOrDQXeIQmOdvoTzdfCNvP,I need to know more about this tool to decide,CwqLMKfEonbkLlHnaFmKGowOMDizbPzxbGdIhAbLirvrCqkpin,UEOAMOqlKdsMmNyUbTEOoWQVEWcSnkLgxllwclaYrfnGorPuTw,Value demonstration,Step-by-Step Guidance / Skills Training,AcamwmPziIAqVkYGQHBXgxAFhfdXFpTxSKfKOmnXxdwFecYPte,"['Value demonstration', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases', 'Awareness Programs for Assurance', 'Step-by-Step Guidance / Skills Training', 'Business case justification']",2020-10-02,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not challenging at all,Moderately challenging,Very challenging,Slightly challenging,Very challenging,Moderately challenging,Very challenging,Very challenging,Very challenging,Very Relevant,Extremely Relevant,Not Relevant,Not Relevant,Not Relevant,Not Relevant,Extremely Relevant,Extremely Relevant,Very Relevant
99,cfensccxas@example.com,United Kingdom,Water,Executive/Decision-Maker,Yes,xBYVPliDjt,aRVmgGHLVcUaeshjMDTKLjUNqlgyVxteAejpZlNwUhEoLoWPyp,"Conformity Assessments (e.g., alignment with standards and expectations)","Conformity Assessments (e.g., alignment with standards and expectations)",ZlOCiUnrte,Fairness,Transparency,GaTrWswTLA,Yes,Somewhat Difficult,Lawyer mis-alignment / legal agreement barriers,Not prepared at all,Neutral,Interactive Platforms,Not Systematically,Strongly agree,Disagree,Very satisfied,Yes  / Something similar,This is the first time I've heard of them.,Extremely valuable,rTpmMpvESNtLzCWOOYxpTSoUFMmmzrKzwTcxifvjPjpcBEaYlG,Adapted existing framework / standards,PDyTDudgDfTfrPIOAqXiSNsHSoSkrshXlTVmRattbiqRzQuMhQ,I need to know more about this tool to decide,PeafhCbsxvkjwggIqyZsQmemJQyyRbqJpWMYhHzcWWaXqqsRAX,TnWFDYKlyMePzJQQenvbpegyFcrMJrLuRYyhqQUAxvXQNFCXAk,Step-by-Step Guidance / Skills Training,Awareness Programs for Assurance,uxyYVKYOlEeYuAPEFrQflIiYZMIKVHJCDoosbGdBZUDSHZBuRF,"['Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases', 'Value demonstration', 'Awareness Programs for Assurance', 'Business case justification']",2021-05-06,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Very challenging,Moderately challenging,Slightly challenging,Very challenging,Not challenging at all,Slightly challenging,Extremely challenging,Moderately challenging,Very challenging,Not Relevant,Not Relevant,Slightly Relevant,Extremely Relevant,Not Relevant,Slightly Relevant,Slightly Relevant,Not Relevant,Extremely Relevant
100,iexazdiziq@example.com,United Kingdom,Education,Developer/Engineer,Indirectly (We support clients or provide components for their digital twins),JCuxDGtePI,ZomJmmDrrVbYSLyNiTOZNgkqGhggYqIDmibTSxDoDPWqGUHDbf,"Post-Implementation Evaluation (e.g., reviewing performance and outcomes after deployment)","Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)",UApJtznaGR,Quality,Security,jwcAriuJxE,Yes,Not Applicable,Competition,Not prepared at all,Strongly agree,Visual Aids,Interactive Platforms,Agree,Strongly agree,Somewhat satisfied,Yes  / Something similar,I've seen them but don't use them in my work.,Extremely valuable,ZJhZuAlgCLeJxvijlKbuNqbturUgQjpEdvmyUfOjRpxFTtMpQg,"Consensus-based process (e.g., collaborative efforts of industry consortia)",SAJhrPVwUhQXQmJCTiCCsNsclyizBpntUsOlANTdcdIhyWdpZU,I need to know more about this tool to decide,iZPYvliVPAfCJpYmlMYMmFSYdIlHWxXydlqxuVLBxJQcaKLeza,jJcMHzMiRWTKDEKgCClIdUbAHArkuzmZAXTUlolTWtvAVUQXki,Step-by-Step Guidance / Skills Training,Regulatory Clarity and Compliance Guidance,aYViNRCoBXLlQiJvyGRuiOXcGIVosMaspfMHTSOmlffzaLoXui,"['Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Awareness Programs for Assurance', 'Business case justification', 'Tools to easily create Assurance Cases', 'Value demonstration']",2022-03-03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not challenging at all,Moderately challenging,Extremely challenging,Very challenging,Extremely challenging,Moderately challenging,Not challenging at all,Very challenging,Very challenging,Slightly Relevant,Slightly Relevant,Slightly Relevant,Extremely Relevant,Moderately Relevant,Extremely Relevant,Moderately Relevant,Slightly Relevant,Moderately Relevant
